,Name,Link,Description,Price,Sale Price
143,Nike Air Max 90 SE Next Nature,https://www.nike.com/t/air-max-90-se-next-nature-little-kids-shoes-6ks2bt/DQ4017-400,Little Kids' Shoes,$90,$65.97
144,Nike Alpha Menace 3 Shark,https://www.nike.com/t/alpha-menace-3-shark-little-big-kids-football-cleats-wide-1MQjkt/CV0583-001,Little/Big Kids' Football Cleats (Wide),$40,$32.97
145,Nike React Infinity Run Flyknit 2 A.I.R. Kelly Anna London,https://www.nike.com/t/react-infinity-run-flyknit-2-air-kelly-anna-london-mens-road-running-shoes-DttDF2/CZ3602-400,Men's Road Running Shoes,$160,$84.97
146,Nike Team Hustle D 9,https://www.nike.com/t/team-hustle-d-9-big-kids-basketball-shoe-sXJG3K/AQ4224-001,Big Kids' Basketball Shoe,$60,$33.97
147,Nike Court Vision Alta,https://www.nike.com/t/court-vision-alta-womens-shoes-NbRjhw/DM0113-400,Women's Shoes,$85,$68.97
148,Nike Venture Runner,https://www.nike.com/t/venture-runner-mens-shoes-HHcvdw/CK2944-400,Men's Shoes,$70,$57.97
149,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-001,Women's Volleyball Shoe,$120,$96.97
150,Nike Sportswear,https://www.nike.com/t/sportswear-big-kids-t-shirt-8V2Lz4/DQ3866-100,Big Kids' T-Shirt,$25,$12.97
151,Nike Waffle Trainer 2,https://www.nike.com/t/waffle-trainer-2-big-kids-shoes-fRGl8d/DC6477-402,Big Kids' Shoes,$70,$39.97
152,Zoom Freak 3 (Team),https://www.nike.com/t/zoom-freak-3-team-basketball-shoe-9FVl5X/DA7845-300,Basketball Shoe,$120,$64.97
153,Nike Air Huarache,https://www.nike.com/t/air-huarache-womens-shoes-GZpbBG/DH4439-106,Women's Shoes,$120,$58.97
154,Nike Air Force 1 LV8 Next Nature,https://www.nike.com/t/air-force-1-lv8-next-nature-big-kids-shoes-rlM12h/DM0984-700,Big Kids' Shoes,$95,$76.97
155,Giannis Immortality,https://www.nike.com/t/giannis-immortality-basketball-shoes-p9QlJF/CZ4099-800,Basketball Shoes,$80,$68.97
156,Nike Zoom Prevail,https://www.nike.com/t/zoom-prevail-mens-running-shoes-BhMfQC/DR9881-100,Men's Running Shoes,$100,$59.97
157,Nike Air Force 1 '07 LV8 1,https://www.nike.com/t/air-force-1-07-lv8-1-mens-shoes-x0bMdL/CW6999-600,Men's Shoes,$130,$104.97
158,Nike Air Zoom Pegasus 38,https://www.nike.com/t/air-zoom-pegasus-38-mens-road-running-shoes-lq7PZZ/CW7356-002,Men's Road Running Shoes,$120,$84.97
